0,0|||10	29.386812
0,0|||11	29.377785
0,0|||12	29.364785
0,0|||13	25.887510
0,0|||14	29.306888
0,0|||2	28.068135
0,0|||3	28.757889
0,0|||4	25.145346
0,0|||5	28.756444
0,0|||6	28.755124
0,0|||7	28.065748
0,0|||8	29.392166
0,0|||9	29.390789
0,10|||0	12.556237
0,10|||10	17.040890
0,10|||11	17.917376
0,10|||12	17.813919
0,10|||13	14.733578
0,10|||14	17.308324
0,10|||2	17.119615
0,10|||3	17.719150
0,10|||4	15.537703
0,10|||5	17.719149
0,10|||6	17.719149
0,10|||7	17.119615
0,10|||8	17.964837
0,10|||9	17.964837
0,11|||0	12.666226
0,11|||10	18.126708
0,11|||11	17.129349
0,11|||12	17.945420
0,11|||13	14.955422
0,11|||14	17.443310
0,11|||2	17.264601
0,11|||3	17.913172
0,11|||4	15.626060
0,11|||5	17.913173
0,11|||6	17.913173
0,11|||7	17.264601
0,11|||8	18.126708
0,11|||9	18.126708
0,12|||0	15.151062
0,12|||10	20.522505
0,12|||11	20.522505
0,12|||12	19.366443
0,12|||13	17.720948
0,12|||14	19.852586
0,12|||2	19.613508
0,12|||3	20.271293
0,12|||4	17.926890
0,12|||5	20.271295
0,12|||6	20.271295
0,12|||7	19.613508
0,12|||8	20.522505
0,12|||9	20.522505
0,13|||0	18.598268
0,13|||10	22.118721
0,13|||11	22.118564
0,13|||12	22.114499
0,13|||13	21.472698
0,13|||14	21.656029
0,13|||2	21.594717
0,13|||3	21.179675
0,13|||4	20.852014
0,13|||5	21.179675
0,13|||6	21.179675
0,13|||7	21.594717
0,13|||8	22.118672
0,13|||9	22.118706
0,14|||0	16.455903
0,14|||10	21.783366
0,14|||11	21.789084
0,14|||12	21.783319
0,14|||13	20.395119
0,14|||14	21.949049
0,14|||2	20.939931
0,14|||3	21.760946
0,14|||4	18.794468
0,14|||5	21.760946
0,14|||6	21.759530
0,14|||7	20.939039
0,14|||8	21.775907
0,14|||9	21.780484
0,2|||0	10.532788
0,2|||10	15.187763
0,2|||11	15.176066
0,2|||12	15.041476
0,2|||13	12.596943
0,2|||14	14.538537
0,2|||2	14.012430
0,2|||3	14.808466
0,2|||4	13.434655
0,2|||5	14.808466
0,2|||6	14.806196
0,2|||7	14.320288
0,2|||8	15.203512
0,2|||9	15.196801
0,3|||0	10.531246
0,3|||10	15.588191
0,3|||11	15.577909
0,3|||12	15.462424
0,3|||13	12.829871
0,3|||14	14.842745
0,3|||2	14.854607
0,3|||3	14.513270
0,3|||4	13.363291
0,3|||5	15.320002
0,3|||6	15.317950
0,3|||7	14.849463
0,3|||8	15.601915
0,3|||9	15.596097
0,4|||0	9.166558
0,4|||10	13.676711
0,4|||11	13.664469
0,4|||12	13.517355
0,4|||13	11.458901
0,4|||14	13.068945
0,4|||2	13.216474
0,4|||3	13.083918
0,4|||4	11.579028
0,4|||5	13.083918
0,4|||6	13.081598
0,4|||7	13.210700
0,4|||8	13.693320
0,4|||9	13.686219
0,5|||0	10.576679
0,5|||10	15.676177
0,5|||11	15.665806
0,5|||12	15.550007
0,5|||13	12.880971
